CODIGO CENTRO,NOMBRE CENTRO
22005030,IES MONEGROS-GASPAR LAX (Sariñena)
22002508,IES RAMÓN Y CAJAL (Huesca)
22002521,IES SIERRA DE GUARA (Huesca)
22005145,EARTE DE HUESCA (Huesca)
22004943,CPRI-FPE NUESTRA SEÑORA DE GUAYENTE (Sahun)
22004888,IES BAJO CINCA (Fraga)
,IES RAMÓN J SENDER
,IES BALTASAR GRACIAN
22000809,IES HERMANOS ARGENSOLA (Barbastro)
22003288,IES JOSÉ MOR DE FUENTES (Monzon)
22005391,IES LA LLITERA (Tamarite de Litera)
22004611,IES MARTÍNEZ VARGAS (Barbastro)
22005388,IES SIERRA DE SAN QUÍLEZ (Binefar)
22005406,IES SOBRARBE (Ainsa)
,CPC SANTO DOMINGO SAVIO (Monzón)
,CPC SAN JOSÉ DE CALASANZ (Barbastro)
22002740,IFA AGROAMBIENTAL (Jaca)
22004891,IES BIELLO ARAGÓN (Sabiñanigo)
22005765,IES PIRINEOS (Jaca)
22003902,IES SAN ALBERTO MAGNO (Sabiñanigo)
,CPC ESCUELAS PIAS (Jaca)
50010314,CPIFP LOS ENLACES (Zaragoza)
50008654,CPRI-FPE CEFOR IZQUIERDO (Zaragoza)
50010168,CPRI-FPE CONDES DE ARAGÓN (Zaragoza)
50008629,CPRI-FPE E.F.A. EL SALTO (Zuera)
50007492,CPRI-INTFP LA SALLE-SANTO ANGEL (Zaragoza)
50010533,IES CABAÑAS (La Almunia de Doña Godina)
50011008,IES RODANAS (Epila)
50011513,IES TUBALCAÍN (Tarazona)
,IES JOAQUÍN COSTA (Cariñena)
,IES JUAN DE LANUZA (Borja)
,CPC SALESIANOS LAVIAGA (La Almunia)
50009348,IES AVEMPACE (Zaragoza)
50010041,IES PEDRO CERRADA (Utebo)
,IES ANGEL SANZ BRIZ (Casetas)
,IES MIGUEL DE MOLINOS
,IES PEDRO DE LUNA 
,CPC SAN GABRIEL
,CPC SAN VALERO
,CPCSAN VICENTE DE PAÚL
50009543,IES BENJAMÍN JARNÉS (Fuentes de Ebro)
50011732,IES MAR DE ARAGÓN (Caspe)
,IES PABLO GARGALLO
,CPC COLEGIO MONTESSORI
,CPC MARÍA AUXILIADORA
50006414,IES VIRGEN DEL PILAR (Zaragoza)
22002491,CPIFP MONTEARAGÓN (Huesca)
22010712,CPIFP PIRÁMIDE (Huesca)
22005121,CPIFP SAN LORENZO (Huesca)
50018842,IES DE LA PUEBLA DE ALFINDÉN (La Puebla de Alfinden)
50010156,IES MIRALBUENO (Zaragoza)
50009889,CPRI-FPE ACADEMIA MARCO (Zaragoza)
50017096,CPRI-FPE ARSENIO JIMENO (Zaragoza)
50009221,CPRI-FPE SANTA AGATOCLIA (Mequinenza)
50019147,CPRI-INTFP FUNDACIÓN LABORAL DE LA CONSTRUCCIÓN (Villanueva de Gallego)
50001179,IES EMILIO JIMENO (Calatayud)
50001167,IES LEONARDO DE CHABACIER (Calatayud)
50010961,IES SIERRA DE LA VIRGEN (Illueca)
50011252,IES ZAURÍN (Ateca)
50008514,EARTE DE ZARAGOZA (Zaragoza)
50010946,IES ANDALÁN (Zaragoza)
50008460,IES LUIS BUÑUEL (Zaragoza)
50010739,IES PILAR LORENGAR (Zaragoza)
50009567,IES RÍO GÁLLEGO (Zaragoza)
,IES RAMÓN Y CAJAL (Zaragoza)
,CFPE ARTE-MISS
,CPC NTRA. SRA. CARMEN Y SAN JOSÉ
50008642,IES MARÍA MOLINER (Zaragoza)
50010491,IES SANTIAGO HERNÁNDEZ (Zaragoza)
,CPC EL BUEN PASTOR
,CPC LA PURISIMA PARA NIÑOS SORDOS
,CPC SANTO DOMINGO DE SILOS
50001180,CDM ACADEMIA DE LOGÍSTICA DEL EJÉRCITO DE TI (Calatayud)
50005690,CPIFP DE MOVERA (Movera)
,CPRI-INPRISE SALESIANO NTRA. SRA.DEL PILAR (Zaragoza)
44003284,EARTE ESCUELA DE ARTE DE TERUEL (Teruel)
44003247,IES FRANCÉS DE ARANDA (Teruel)
44005116,IES GÚDAR-JAVALAMBRE (Mora de Rubielos)
44004665,IES SALVADOR VICTORIA (Monreal del Campo)
44003211,IES SANTA EMERENCIANA (Teruel)
44003223,IES SEGUNDO DE CHOMÓN (Teruel)
44004045,IES VALLE DEL JILOCA (Calamocha)
44003235,IES VEGA DEL TURIA (Teruel)
44010537,CPIFP BAJO ARAGÓN (Alcañiz)
44003028,CPIFP DE SAN BLAS (San Blas)
44010011,CPIFP ESCUELA DE HOSTELERÍA Y TURISMO DE TERUE (Teruel)
44005098,IES DAMIÁN FORMENT (Alcorisa)
44004550,IES FERNANDO LÁZARO CARRETER (Utrillas)
44004598,IES MATARRAÑA (Valderrobres)
44004653,IES PABLO SERRANO (Andorra)
,IES VALLE DEL GUADALOPE (CALANDA)
50018829,CPIFP CORONA DE ARAGÓN (Zaragoza)
50003863,CPRI-FPE E.F.A. LA NORIA (Pinseque)
50009051,CPRI-FPE PLUS ULTRA (Zaragoza)
50011781,CPRI-FPE VALLE DE TENA (Zaragoza)
50010028,CPRI-FPE ALAÚN (Alagon)
